title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Monkey;Meissen Manufactory (German, 1710–present);Meissen Manufactory;Germany;Germany;<p>Meissen Manufactory (German, 1710–present) </p><p>Date: ca.1740, after a model of ca.1732<br/>Accession Number: 1982.60.310</p>;"/art/collection/search/207190?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=2";https://images.metmuseum.org/CRDImages/es/mobile-large/DT7143.jpg;es/web-additional/DT7143.jpg;es/web-large/DT7143.jpg;ca.1740, after a model of ca.1732;Hard-paste porcelain;1982.60.310;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzU2Nzc0LDQwLjc3OTE5OTY1QGxtQDE0ODQzOTA3MzU1Ng==' target='_blank'>Gallery 538</a>
Monkey;Georges Seurat (French, Paris 1859–1891 Paris);Georges Seurat;;;<p>Georges Seurat (French, Paris 1859–1891 Paris) </p><p>Date: 1884<br/>Accession Number: 67.187.35</p>;"/art/collection/search/339754?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=3";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP808129.jpg;dp/web-additional/DP808129.jpg;dp/web-large/DP808129.jpg;1884;Conté crayon;67.187.35;Not on view
Monkey;Anonymous, in the style of Mori Sosen (Japanese, 1747–1821);Mori Sosen;Japan;Japan;<p>Anonymous, in the style of Mori Sosen (Japanese, 1747–1821) </p><p>Date: style of 18th century<br/>Accession Number: 52.177.22</p>;"/art/collection/search/57332?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=4";https://images.metmuseum.org/CRDImages/as/mobile-large/52_177_22_154542.jpg;as/web-additional/52_177_22_154542.jpg;as/web-large/52_177_22_154542.jpg;style of 18th century;"Hanging scroll; ink and color on silk";52.177.22;Not on view
Monkey; ;;French;France;<p>Date: first half 18th century<br/>Accession Number: 07.225.413</p>;"/art/collection/search/189673?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=5";https://images.metmuseum.org/CRDImages/es/mobile-large/DP274040.jpg;es/web-additional/DP274040.jpg;es/web-large/DP274040.jpg;first half 18th century;Terracotta, polychrome;7.225.413;Not on view
Monkey;Derby Porcelain Manufactory (British, 1751–1785);Derby Porcelain Manufactory;British, Chelsea-Derby;Britain;<p>Derby Porcelain Manufactory (British, 1751–1785) </p><p>Date: ca. 1770<br/>Accession Number: 64.101.650</p>;"/art/collection/search/203493?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=6";https://images.metmuseum.org/CRDImages/es/mobile-large/DP-470-067.jpg;es/web-additional/DP-470-067.jpg;es/web-large/DP-470-067.jpg;ca. 1770;Soft-paste porcelain;64.101.650;Not on view
Monkey;Meissen Manufactory (German, 1710–present);Meissen Manufactory;Germany;Germany;<p>Meissen Manufactory (German, 1710–present) </p><p>Date: ca. 1732<br/>Accession Number: 1974.356.346</p>;"/art/collection/search/205908?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=7";https://images.metmuseum.org/CRDImages/es/mobile-large/205082.jpg;es/web-additional/205082.jpg;es/web-large/205082.jpg;ca. 1732;Hard-paste porcelain;1.974.356.346;Not on view
Monkey Amulet; ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944g</p>;"/art/collection/search/587624?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=8";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944g.jpg;eg/web-additional/22.1.1944g.jpg;eg/web-large/22.1.1944g.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944g;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Monkey Amulet; ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944o</p>;"/art/collection/search/587632?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=9";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944o.jpg;eg/web-additional/22.1.1944o.jpg;eg/web-large/22.1.1944o.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944o;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Monkey Amulet; ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944m</p>;"/art/collection/search/587630?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=10";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944m.jpg;eg/web-additional/22.1.1944m.jpg;eg/web-large/22.1.1944m.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944m;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Two Vases in the Shape of a Mother Monkey with her Young; ;;;;<p>Date: ca. 2289–2246 BC<br/>Accession Number: 30.8.134, 1992.338-related</p>;"/art/collection/search/590943?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=11";https://images.metmuseum.org/CRDImages/eg/mobile-large/eg30.8.134_1992.338.jpg;eg/web-additional/eg30.8.134_1992.338.jpg;eg/web-large/eg30.8.134_1992.338.jpg;ca. 2289–2246 BC;Travertine (Egyptian alabaster), paint, resin and pigment;30.8.134, 1992.338-related;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjM1ODA5LDQwLjc3OTY3MzAyQGxtQDU0MTQzNDIwMzEzMw==' target='_blank'>Gallery 103</a>
Pendant: monkey; ;;Etruscan;Italy;<p>Date: 7th century BCE<br/>Accession Number: 1995.84</p>;"/art/collection/search/256213?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=12";https://images.metmuseum.org/CRDImages/gr/mobile-large/DP124718.jpg;gr/web-additional/DP124718.jpg;gr/web-large/DP124718.jpg;7th century BCE;Amber;1995.84;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY5NzAxLDQwLjc3ODA1MjcyQGxtQDE4MDg5MTI2Nzk1Mw==' target='_blank'>Gallery 170</a>
Monkey or meerkat; ;;;;<p>Date: 500–200 BC<br/>Accession Number: 90.6.204</p>;"/art/collection/search/570214?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=13";https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-90_6_204_EGDP023533.jpg;eg/web-additional/LC-90_6_204_EGDP023533.jpg;eg/web-large/LC-90_6_204_EGDP023533.jpg;500–200 BC;Faience;90.6.204;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjQ4MDA3LDQwLjc3OTg5OTYyQGxtQDkzNTkzMjUxMDE0Mw==' target='_blank'>Gallery 134</a>
Monkey Amulet (?); ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944p</p>;"/art/collection/search/587633?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=14";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944p.jpg;eg/web-additional/22.1.1944p.jpg;eg/web-large/22.1.1944p.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944p;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Standing Monkey Amulet; ;;;;<p>Date: 664–332 B.C.<br/>Accession Number: 66.99.124</p>;"/art/collection/search/550993?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=15";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP276393.jpg;eg/web-additional/DP276393.jpg;eg/web-large/DP276393.jpg;664–332 B.C.;Faience;66.99.124;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjI3NjMsNDAuNzgwMTA4ODdAbG1ANTEwNzkyMTg5ODYw' target='_blank'>Gallery 127</a>
Ape Amulet; ;;;;<p>Date: 664–332 B.C.<br/>Accession Number: 10.130.2156</p>;"/art/collection/search/550918?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=16";https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-10_130_2156_EGDP028697.jpg;eg/web-additional/LC-10_130_2156_EGDP028697.jpg;eg/web-large/LC-10_130_2156_EGDP028697.jpg;664–332 B.C.;Faience;101.302.156;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjI3NjMsNDAuNzgwMTA4ODdAbG1ANTEwNzkyMTg5ODYw' target='_blank'>Gallery 127</a>
Drum, Monkey Figures; ;;Paracas;Paracas;<p>Date: 4th–2nd century BCE<br/>Accession Number: 64.228.188</p>;"/art/collection/search/308721?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=17";https://images.metmuseum.org/CRDImages/ao/mobile-large/64.228.188_a.JPG;ao/web-additional/64.228.188_a.JPG;ao/web-large/64.228.188_a.JPG;4th–2nd century BCE;Ceramic, post-fired paint;64.228.188;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzE2Njc0LDQwLjc4MDA5OTg0QGxtQDEwMTAwNjIyMDY1MzE=' target='_blank'>Gallery 684</a>
Female Monkey Holding Its Baby; ;;;;<p>Date: ca. 1981–1802 B.C.<br/>Accession Number: 1989.281.90</p>;"/art/collection/search/548504?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=18";https://images.metmuseum.org/CRDImages/eg/mobile-large/DT6211.jpg;eg/web-additional/DT6211.jpg;eg/web-large/DT6211.jpg;ca. 1981–1802 B.C.;Amethyst;1989.281.90;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTkxODUsNDAuNzgwMDkzNzlAbG1AMTAwMDk3OTkzMDg3NQ==' target='_blank'>Gallery 111</a>
Monkey kneeling and resting its head in a hand; ;;;;<p>Date: 500–100 BC<br/>Accession Number: 10.130.1331</p>;"/art/collection/search/555611?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=19";https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-10_130_1331_EGDP023547.jpg;eg/web-additional/LC-10_130_1331_EGDP023547.jpg;eg/web-large/LC-10_130_1331_EGDP023547.jpg;500–100 BC;Bronze;101.301.331;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjQ4MDA3LDQwLjc3OTg5OTYyQGxtQDkzNTkzMjUxMDE0Mw==' target='_blank'>Gallery 134</a>
Figure of a man with an oryx, a monkey, and a leopard skin; ;;Assyrian;Assyrian;<p>Date: ca. 8th century BCE<br/>Accession Number: 60.145.11</p>;"/art/collection/search/325089?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=20";https://images.metmuseum.org/CRDImages/an/mobile-large/DP110672.jpg;an/web-additional/DP110672.jpg;an/web-large/DP110672.jpg;ca. 8th century BCE;Ivory;60.145.11;Not on view
Boy with Monkey;Capodimonte Porcelain Manufactory (Italian, 1740/43–1759);Capodimonte Porcelain Manufactory;Italian, Naples (Capodimonte);Italy;<p>Capodimonte Porcelain Manufactory (Italian, 1740/43–1759) </p><p>Date: ca. 1755–59<br/>Accession Number: 1982.60.284</p>;"/art/collection/search/207165?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=21";https://images.metmuseum.org/CRDImages/es/mobile-large/232857.jpg;es/web-additional/232857.jpg;es/web-large/232857.jpg;ca. 1755–59;Soft-paste porcelain;1982.60.284;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mzc1MTg5LDQwLjc3OTM1NzgxQGxtQDU3MjExOTg3NDg2' target='_blank'>Gallery 543</a>
Monkey with young;"Saint James&#39;s Factory (British, ca. 1748/49–1760)";Saint James's Factory;British, London;Britain;"<p>Saint James&#39;s Factory (British, ca. 1748/49–1760) </p><p>Date: ca. 1750–55<br/>Accession Number: 64.101.540a–c</p>";"/art/collection/search/203403?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=22";https://images.metmuseum.org/CRDImages/es/mobile-large/DP-470-030.jpg;es/web-additional/DP-470-030.jpg;es/web-large/DP-470-030.jpg;ca. 1750–55;Soft-paste porcelain;64.101.540a–c;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzczNDQ0LDQwLjc3OTkzODA4QGxtQDk3MTI1ODQ2NDU4Mw==' target='_blank'>Gallery 512</a>
Perfume vessel in shape of a monkey; ;;;;<p>Date: ca. 1550–1295 B.C.<br/>Accession Number: 1974.97</p>;"/art/collection/search/545265?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=23";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP228710.jpg;eg/web-additional/DP228710.jpg;eg/web-large/DP228710.jpg;ca. 1550–1295 B.C.;Faience;1974.97;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTk2OTE4LDQwLjc4MDIzNDA2QGxtQDgxMTYyNDM2NTY0OA==' target='_blank'>Gallery 117</a>
Monkey playing the lyre and carrying a dish on its head; ;;;;<p>Date: 332–30 B.C.<br/>Accession Number: 58.76.3</p>;"/art/collection/search/551363?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=24";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP238949.jpg;eg/web-additional/DP238949.jpg;eg/web-large/DP238949.jpg;332–30 B.C.;Cupreous metal;58.76.3;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjQ4MDA3LDQwLjc3OTg5OTYyQGxtQDkzNTkzMjUxMDE0Mw==' target='_blank'>Gallery 134</a>
Monkey and Man Playing Instruments; ;;;;<p>Date: ca. 945–525 B.C.<br/>Accession Number: 44.4.17</p>;"/art/collection/search/550062?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=25";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP345151.jpg;eg/web-additional/DP345151.jpg;eg/web-large/DP345151.jpg;ca. 945–525 B.C.;Faience;44.4.17;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjE0NTczLDQwLjc4MDE3OTA5QGxtQDc2MzQzMTYxNTQ3Nw==' target='_blank'>Gallery 125</a>
Vase in the Shape of a Mother Monkey with Her Offspring; ;;;;<p>Date: ca. 2289–2255 B.C.<br/>Accession Number: 1992.338</p>;"/art/collection/search/543908?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=26";https://images.metmuseum.org/CRDImages/eg/mobile-large/DT6931.jpg;eg/web-additional/DT6931.jpg;eg/web-large/DT6931.jpg;ca. 2289–2255 B.C.;Travertine (Egyptian alabaster), paint;1.992.338;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjM1ODA5LDQwLjc3OTY3MzAyQGxtQDU0MTQzNDIwMzEzMw==' target='_blank'>Gallery 103</a>
Kohl Tube in the Shape of a Monkey Holding a Vessel; ;;;;<p>Date: ca. 1550–1450 B.C.<br/>Accession Number: 1989.281.101</p>;"/art/collection/search/548505?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=27";https://images.metmuseum.org/CRDImages/eg/mobile-large/DT6218.jpg;eg/web-additional/DT6218.jpg;eg/web-large/DT6218.jpg;ca. 1550–1450 B.C.;Steatite (glazed);1.989.281.101;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTk2OTE4LDQwLjc4MDIzNDA2QGxtQDgxMTYyNDM2NTY0OA==' target='_blank'>Gallery 117</a>
Modern reconstruction of ancient beads and monkey pendant; ;;Etruscan;Italy;<p>Date: primarily 7th century BCE<br/>Accession Number: 1992.11.50</p>;"/art/collection/search/256063?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=28";https://images.metmuseum.org/CRDImages/gr/mobile-large/DP124717.jpg;gr/web-additional/DP124717.jpg;gr/web-large/DP124717.jpg;primarily 7th century BCE;Amber;1992.11.50;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY5NzAxLDQwLjc3ODA1MjcyQGxtQDE4MDg5MTI2Nzk1Mw==' target='_blank'>Gallery 170</a>
Terracotta statuette of a monkey or bear; ;;Cypriot;Cyprus;<p>Date: ca. 600–480 BCE<br/>Accession Number: 74.51.1639</p>;"/art/collection/search/241194?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=29";https://images.metmuseum.org/CRDImages/gr/mobile-large/DP101702.jpg;gr/web-additional/DP101702.jpg;gr/web-large/DP101702.jpg;ca. 600–480 BCE;Terracotta;74.51.1639;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Head of a monkey from an ointment vessel; ;;;;<p>Date: ca. 2323–2150 B.C.<br/>Accession Number: 1970.184.3</p>;"/art/collection/search/544034?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=30";https://images.metmuseum.org/CRDImages/eg/mobile-large/1970.184.3_EGDP010831.jpg;eg/web-additional/1970.184.3_EGDP010831.jpg;eg/web-large/1970.184.3_EGDP010831.jpg;ca. 2323–2150 B.C.;Serpentinite;1970.184.3;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjA4NTcsNDAuNzc5ODIwMDJAbG1AMzU4MTQ4MTI2ODg1' target='_blank'>Gallery 106</a>
Ax head with monkey figure; ;;;;<p>Date: ca. 1981–1640 B.C.<br/>Accession Number: 30.8.111</p>;"/art/collection/search/544815?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=31";https://images.metmuseum.org/CRDImages/eg/mobile-large/DP226285.jpg;eg/web-additional/DP226285.jpg;eg/web-large/DP226285.jpg;ca. 1981–1640 B.C.;Bronze or copper alloy;30.8.111;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjEwMDcyLDQwLjc4MDEyNjRAbG1ANTExNDY3ODY1MDAy' target='_blank'>Gallery 109</a>
